schoolid,zread,age,female,immig,hisced,wealth,cultposs,hedres,lmins,schltype,stratio,schsize
82600001,0.388739705,16.08,1,2,6,-0.7104,-0.4354,0.0477,450,3,15.8053,893
82600001,-1.224397898,15.33,1,2,4,-1.2991,-0.5174,-1.5528,275,3,15.8053,893
82600001,0.718043447,15.42,1,2,6,-1.4297,-0.0396,0.2646,200,3,15.8053,893
82600001,-1.594873548,15.42,1,2,6,0.4645,0.7725,0.7604,165,3,15.8053,893
82600001,0.833073318,15.5,1,1,6,1.4432,1.8498,1.1793,250,3,15.8053,893
82600001,-0.108349591,15.75,1,2,4,0.2534,0.3239,1.1793,200,3,15.8053,893
82600001,0.239807159,16,1,2,6,-0.2443,-0.2588,1.1793,200,3,15.8053,893
82600001,0.256093949,15.25,1,2,6,-0.5068,-0.1662,1.1793,220,3,15.8053,893
82600001,0.151461869,15.33,1,1,6,0.8908,0.0896,1.1793,300,3,15.8053,893
82600003,0.256962985,15.83,1,1,6,2.3046,1.8498,1.1793,300,2,22.7887,809
82600003,-1.605915427,15.58,1,1,4,0.2872,0.1408,-0.6853,300,2,22.7887,809
82600003,-0.786944985,15.92,0,1,5,0.5241,-0.3833,-0.4396,300,2,22.7887,809
82600003,-0.190652534,15.83,0,1,6,1.2343,0.0028,-0.1357,240,2,22.7887,809
82600003,-1.827530146,15.75,1,1,3,0.7072,-1.8434,-0.8243,300,2,22.7887,809
82600003,1.08020699,15.5,0,1,6,0.6999,1.8498,-0.8243,360,2,22.7887,809
82600003,1.200594306,15.58,1,1,4,1.0684,-0.4711,-0.4396,240,2,22.7887,809
82600003,-0.974595666,15.58,1,1,5,1.317,-1.3625,-0.4396,275,2,22.7887,809
82600003,0.28899467,15.42,1,1,6,1.6204,0.0782,-0.3792,240,2,22.7887,809
82600003,-1.799087048,15.33,1,1,3,2.1705,0.2741,0.2646,275,2,22.7887,809
82600003,0.325514674,16,0,1,4,1.4577,0.0019,-0.1357,240,2,22.7887,809
82600003,0.616366088,15.75,0,1,6,0.8787,-0.7486,1.1793,240,2,22.7887,809
82600003,-1.018405318,16,0,1,6,1.5119,-1.3625,1.1793,240,2,22.7887,809
82600003,0.399393082,15.42,0,1,6,1.2416,-0.9827,0.0268,300,2,22.7887,809
82600003,-1.116197586,15.83,1,1,6,1.1188,1.1114,-0.4396,240,2,22.7887,809
82600003,0.281653851,15.83,0,1,6,2.8142,0.7725,1.1793,300,2,22.7887,809
82600003,-0.494672418,15.25,1,1,4,1.1713,-0.9827,0.0477,240,2,22.7887,809
82600003,0.400241673,15.58,0,1,6,-0.3309,0.6322,0.0477,300,2,22.7887,809
82600003,-0.686842084,15.25,1,1,6,0.537,1.1114,0.0477,240,2,22.7887,809
82600003,-0.849178255,15.83,1,1,6,1.8365,1.1114,1.1793,325,2,22.7887,809
82600003,0.84899205,15.83,1,1,3,2.4593,0.0782,1.1793,240,2,22.7887,809
82600003,-1.71327734,16,1,1,6,0.9998,-0.2588,0.0477,300,2,22.7887,809
82600009,0.474201828,15.5,1,1,6,-0.3926,-0.1316,0.0477,165,3,17.5507,1211
82600009,0.36457023,16.08,1,1,3,-0.2545,-0.9827,-0.8243,150,3,17.5507,1211
